customerID,churn_risk_score,usage_trend,sentiment_score,complaint_category,health_score,risk_tier,explanation
7590-VHVEG,0.8175118,Growing,0.984205424785614,Service Quality,72.53725558519363,Healthy,"high churn risk, growing usage, and positive recent feedback"
5575-GNVDE,0.06436288,Stable,-0.9980308413505554,Billing,80.52413552999496,Healthy,"low churn risk, stable usage, and negative recent complaints"
3668-QPYBK,0.587153,Declining,-0.9994861483573914,Billing,28.90699654817581,Critical,"moderate churn risk, declining usage, and negative recent complaints"
7795-CFOCW,0.08212722,Growing,-0.9961168766021729,Billing,94.30934138596058,Healthy,"low churn risk, growing usage, and negative recent complaints"
9237-HQITU,0.8123758,Declining,-0.999180257320404,Billing,13.145991265773773,Critical,"high churn risk, declining usage, and negative recent complaints"
9305-CDSKC,0.96085817,Declining,-0.9985893368721008,Billing,2.7610883116722107,Critical,"high churn risk, declining usage, and negative recent complaints"
1452-KIOVK,0.65772617,Stable,-0.0077060759067535,Billing,53.843577057123184,At-Risk,"moderate churn risk, stable usage, and neutral recent contact history"
6713-OKOMC,0.3753941,Growing,0.3333349823951721,Other,93.72243732213974,Healthy,"moderate churn risk, growing usage, and positive recent feedback"
7892-POOKP,0.80987346,Declining,-0.9996175765991212,Billing,13.314594030380247,Critical,"high churn risk, declining usage, and negative recent complaints"
6388-TABGU,0.034592688,Stable,0.3234748045603434,Service Quality,100.0,Healthy,"low churn risk, stable usage, and positive recent feedback"
9763-GRSKD,0.32513124,Growing,0.0011930763721466,Service Quality,92.25870952010155,Healthy,"low churn risk, growing usage, and neutral recent contact history"
7469-LKBCI,0.0018066207,Stable,-0.994247317314148,Service Quality,84.95982678839937,Healthy,"low churn risk, stable usage, and negative recent complaints"
8091-TTVAX,0.4104745,Stable,-0.99747234582901,Service Quality,56.304699182510376,At-Risk,"moderate churn risk, stable usage, and negative recent complaints"
0280-XJGEX,0.7571336,Declining,-0.999261200428009,Technical,17.011729776859283,Critical,"high churn risk, declining usage, and negative recent complaints"
5129-JLPIS,0.8418134,Growing,-0.9994393885135652,Billing,41.08147218823433,At-Risk,"high churn risk, growing usage, and negative recent complaints"
3655-SNQYZ,0.06521261,Growing,-0.9987192153930664,Technical,95.45432925224304,Healthy,"low churn risk, growing usage, and negative recent complaints"
8191-XWSZG,0.031780478,Stable,-0.9909761746724448,Billing,82.91072394698858,Healthy,"low churn risk, stable usage, and negative recent complaints"
9959-WOFKT,0.036486506,Stable,0.3338197271029154,Technical,100.0,Healthy,"low churn risk, stable usage, and positive recent feedback"
4190-MFLUW,0.500156,Declining,-0.999261200428009,Technical,35.00016301870346,At-Risk,"moderate churn risk, declining usage, and negative recent complaints"
4183-MYFRB,0.7176506,Growing,-0.9922861655553182,Billing,49.88016605377197,At-Risk,"high churn risk, growing usage, and negative recent complaints"
8779-QRDMV,0.9184155,Declining,-0.9997711777687072,Service Quality,5.714348256587984,Critical,"high churn risk, declining usage, and negative recent complaints"
1680-VDCWW,0.0694659,Stable,-0.9880944788455964,Billing,80.3159699589014,Healthy,"low churn risk, stable usage, and negative recent complaints"
1066-JKSGK,0.6775769,Declining,-0.999180257320404,Billing,22.5819131731987,Critical,"high churn risk, declining usage, and negative recent complaints"
3638-WEABW,0.063247964,Growing,-0.9964832663536072,Service Quality,95.62539353966713,Healthy,"low churn risk, growing usage, and negative recent complaints"
6322-HRPFA,0.2658177,Growing,-0.9985575278600056,Service Quality,81.4143979549408,Healthy,"low churn risk, growing usage, and negative recent complaints"
6865-JZNKO,0.29198,Growing,-0.996961772441864,Service Quality,79.606973528862,Healthy,"low churn risk, growing usage, and negative recent complaints"
6467-CHFZW,0.7904489,Declining,-0.9993181228637696,Billing,14.678804874420164,Critical,"high churn risk, declining usage, and negative recent complaints"
8665-UTDHZ,0.73460406,Declining,-0.998378336429596,Service Quality,18.602040708065033,Critical,"high churn risk, declining usage, and negative recent complaints"
5248-YGIJN,0.0035542008,Growing,-0.9980957806110382,Service Quality,99.77976923808455,Healthy,"low churn risk, growing usage, and negative recent complaints"
8773-HHUOZ,0.4722239,Declining,-0.99967622756958,Service Quality,36.94918304681778,At-Risk,"moderate churn risk, declining usage, and negative recent complaints"
3841-NFECX,0.016212383,Growing,-0.994247317314148,Service Quality,98.95142341032624,Healthy,"low churn risk, growing usage, and negative recent complaints"
4929-XIHVW,0.8933767,Stable,-0.99747234582901,Service Quality,22.501545250415802,Critical,"high churn risk, stable usage, and negative recent complaints"
6827-IEAUQ,0.079796664,Growing,-0.9774697422981262,Billing,94.7521873563528,Healthy,"low churn risk, growing usage, and negative recent complaints"
7310-EGVHZ,0.5656971,Growing,0.0033678412437438,Billing,75.45172244310379,Healthy,"moderate churn risk, growing usage, and neutral recent contact history"
3413-BMNZE,0.8073497,Growing,-0.9979864358901978,Billing,43.51572573184967,At-Risk,"high churn risk, growing usage, and negative recent complaints"
6234-RAAPL,0.0068007577,Growing,0.9998584985733032,Service Quality,100.0,Healthy,"low churn risk, growing usage, and positive recent feedback"
6047-YHPVI,0.79132706,Declining,-0.9980957806110382,Service Quality,14.635669142007828,Critical,"high churn risk, declining usage, and negative recent complaints"
6572-ADKRS,0.33089173,Declining,-0.994247317314148,Service Quality,46.923869252204895,At-Risk,"moderate churn risk, declining usage, and negative recent complaints"
5380-WJKOV,0.6454705,Declining,-0.9997711777687072,Service Quality,24.82049733400345,Critical,"moderate churn risk, declining usage, and negative recent complaints"
8168-UQWWF,0.96568185,Declining,-0.9991838335990906,Billing,2.4145129323005676,Critical,"high churn risk, declining usage, and negative recent complaints"
8865-TNMNX,0.073193364,Growing,-0.9985265731811525,Service Quality,94.89856593310833,Healthy,"low churn risk, growing usage, and negative recent complaints"
9489-DEDVP,0.101332135,Stable,-0.3325986862182617,Technical,87.91777022182941,Healthy,"low churn risk, stable usage, and negative recent complaints"
9867-JCZSP,0.033650182,Stable,0.0111667513847351,Billing,97.81198851764202,Healthy,"low churn risk, stable usage, and neutral recent contact history"
4671-VJLCL,0.046752203,Stable,0.9945687651634216,Service Quality,100.0,Healthy,"low churn risk, stable usage, and positive recent feedback"
4080-IIARD,0.5173964,Stable,-0.999261200428009,Technical,48.793334662914276,At-Risk,"moderate churn risk, stable usage, and negative recent complaints"
3714-NTNFO,0.7061558,Stable,-0.99747234582901,Service Quality,35.607010424137115,At-Risk,"high churn risk, stable usage, and negative recent complaints"
5948-UJZLF,0.535368,Growing,-0.3250462810198466,Billing,72.64854401350021,Healthy,"moderate churn risk, growing usage, and negative recent complaints"
7760-OYPDY,0.8507616,Declining,-0.9997711777687072,Service Quality,10.450120866298677,Critical,"high churn risk, declining usage, and negative recent complaints"
7639-LIAYI,0.06016303,Growing,-0.99747234582901,Service Quality,95.82650281488895,Healthy,"low churn risk, growing usage, and negative recent complaints"
2954-PIBKO,0.019520722,Growing,-0.9979864358901978,Billing,98.66375289857388,Healthy,"low churn risk, growing usage, and negative recent complaints"
8012-SOUDQ,0.6816417,Growing,-0.9979864358901978,Billing,52.31528460979462,At-Risk,"high churn risk, growing usage, and negative recent complaints"
9420-LOJKX,0.8100317,Declining,-0.9995808005332948,Technical,13.304068148136137,Critical,"high churn risk, declining usage, and negative recent complaints"
6575-SUVOI,0.19813423,Growing,0.0009360313415527,Billing,100.0,Healthy,"low churn risk, growing usage, and neutral recent contact history"
7495-OOKFY,0.8618328,Declining,-0.99967622756958,Service Quality,9.676560759544374,Critical,"high churn risk, declining usage, and negative recent complaints"
4667-QONEA,0.23957233,Growing,-0.9968129595120748,Service Quality,83.27774241566658,Healthy,"low churn risk, growing usage, and negative recent complaints"
1658-BYGOY,0.85882944,Declining,-0.9985449612140656,Billing,9.903764873743057,Critical,"high churn risk, declining usage, and negative recent complaints"
8769-KKTPH,0.3657791,Growing,0.9998584985733032,Service Quality,100.0,Healthy,"moderate churn risk, growing usage, and positive recent feedback"
5067-XJQFU,0.42364198,Growing,-0.99747234582901,Service Quality,70.3829762339592,Healthy,"moderate churn risk, growing usage, and negative recent complaints"
3957-SQXML,0.021979747,Growing,-0.99747234582901,Service Quality,98.49933249875903,Healthy,"low churn risk, growing usage, and negative recent complaints"
5954-BDFSG,0.04724573,Growing,-0.9965686996777852,Service Quality,96.74426842480898,Healthy,"low churn risk, growing usage, and negative recent complaints"
0434-CSFON,0.7764195,Stable,-0.3329493403434753,Technical,40.656393468379974,At-Risk,"high churn risk, stable usage, and negative recent complaints"
1215-FIGMP,0.35321298,Growing,-0.323952853679657,Service Quality,85.41579842567444,Healthy,"moderate churn risk, growing usage, and negative recent complaints"
0526-SXDJP,0.010036878,Growing,-0.994247317314148,Service Quality,99.38370876014233,Healthy,"low churn risk, growing usage, and negative recent complaints"
0557-ASKVU,0.24403434,Stable,-0.9987192153930664,Technical,67.9368083178997,Healthy,"low churn risk, stable usage, and negative recent complaints"
5698-BQJOH,0.88634944,Declining,-0.999272604783376,Billing,7.966450154781343,Critical,"high churn risk, declining usage, and negative recent complaints"
5122-CYFXA,0.6698967,Growing,-0.9964832663536072,Service Quality,53.15998047590256,At-Risk,"high churn risk, growing usage, and negative recent complaints"
8627-ZYGSZ,0.27888232,Growing,-0.9982894062995912,Billing,80.50389617681503,Healthy,"low churn risk, growing usage, and negative recent complaints"
3410-YOQBQ,0.06264044,Growing,-0.3307917515436808,Service Quality,100.0,Healthy,"low churn risk, growing usage, and negative recent complaints"
3170-NMYVV,0.015079886,Growing,0.0033678412437438,Billing,100.0,Healthy,"low churn risk, growing usage, and neutral recent contact history"
7410-OIEDU,0.7347528,Stable,-0.3324814637502034,Technical,43.5800838470459,At-Risk,"high churn risk, stable usage, and negative recent complaints"
2273-QCKXA,0.46539855,Growing,-0.9774697422981262,Billing,67.76005536317825,Healthy,"moderate churn risk, growing usage, and negative recent complaints"
0731-EBJQB,0.04229126,Growing,-0.3307852745056152,Billing,100.0,Healthy,"low churn risk, growing usage, and negative recent complaints"
1891-QRQSA,0.12305315,Growing,0.9998779296875,Other,100.0,Healthy,"low churn risk, growing usage, and positive recent feedback"
8028-PNXHQ,0.025826598,Growing,0.9944967230161031,Technical,100.0,Healthy,"low churn risk, growing usage, and positive recent feedback"
5630-AHZIL,0.44884253,Growing,0.9996423721313475,Technical,98.57565879821777,Healthy,"moderate churn risk, growing usage, and positive recent feedback"
